,count,mean,std,min,25%,50%,75%,max,median
Соотношение матрица-наполнитель,1023.0,2.9303657734325483,0.9132222362148388,0.389402605178414,2.3178866441274053,2.90687765033521,3.5526598969172998,5.59174159869754,2.90687765033521
"Плотность, кг/м3",1023.0,1975.7348881101545,73.72923055065388,1731.764635096,1924.15546684573,1977.62165679058,2021.37437454241,2207.77348061119,1977.62165679058
"модуль упругости, ГПа",1023.0,739.9232327560721,330.23158056102693,2.4369087535075,500.047451765589,739.664327697792,961.8125264888465,1911.53647700054,739.664327697792
"Количество отвердителя, м.%",1023.0,110.57076864736254,28.295911288788815,17.7402745562519,92.44349744977785,110.564839894065,129.730365711903,198.953207190451,110.564839894065
"Содержание эпоксидных групп,%_2",1023.0,22.24438954776773,2.4063012915294304,14.2549854977161,20.60803426690205,22.2307437560244,23.9619337641417,33.0,22.2307437560244
"Температура вспышки, С_2",1023.0,285.88215135162187,40.943259952923306,100.0,259.066527825323,285.896812331237,313.002105513171,413.273418243566,285.896812331237
"Поверхностная плотность, г/м2",1023.0,482.73183303841853,281.314690236661,0.603739925153945,266.8166453315415,451.86436518306,693.225017143528,1399.54236233989,451.86436518306
"Модуль упругости при растяжении, ГПа",1023.0,73.32857125009068,3.118982889469303,64.0540605597917,71.2450183671113,73.2688045943481,75.35661203894679,82.682051035271,73.2688045943481
"Прочность при растяжении, МПа",1023.0,2466.922842697902,485.62800627853596,1036.85660535,2135.8504482090248,2459.52452600309,2767.19311916023,3848.43673187618,2459.52452600309
"Потребление смолы, г/м2",1023.0,218.42314367654285,59.735930873323504,33.8030255329625,179.6275202311005,219.198882195134,257.48172405689,414.590628361534,219.198882195134
"Угол нашивки, град",1023.0,44.252199413489734,45.01579340761142,0.0,0.0,0.0,90.0,90.0,0.0
Шаг нашивки,1023.0,6.8992220776750175,2.563467072833882,0.0,5.080032842905915,6.9161438559491,8.586292720359095,14.4405218753969,6.9161438559491
Плотность нашивки,1023.0,57.153929432857645,12.350968798651323,0.0,49.7992121625034,57.3419198469929,64.9449611433396,103.988901301494,57.3419198469929
