,min,max
Соотношение матрица-наполнитель,-2.7030070522500544,2.7142599324887193
"Плотность, кг/м3",-2.7003455374731677,2.620357495841913
"модуль упругости, ГПа",-2.2417357646152176,2.7827030600900584
"Количество отвердителя, м.%",-2.640913817107391,2.678120655889772
"Содержание эпоксидных групп,%_2",-2.7921931879183064,2.828407361904503
"Температура вспышки, С_2",-2.6629595264845483,2.6671172925762585
"Поверхностная плотность, г/м2",-1.7165815121715524,3.0279402642477438
"Потребление смолы, г/м2",-2.624011569965499,2.6295896208687366
"Угол нашивки, град",-0.9835180182933569,1.0167581898857767
Шаг нашивки,-2.696483846517709,2.716111215122958
Плотность нашивки,-2.520418190412141,2.5484487491885135
