,mean,median,std,min,max
Соотношение матрица-наполнитель,2.9303657734325483,2.90687765033521,0.9132222362148388,0.389402605178414,5.59174159869754
"Плотность, кг/м3",1975.7348881101545,1977.62165679058,73.72923055065388,1731.764635096,2207.77348061119
"модуль упругости, ГПа",739.9232327560721,739.664327697792,330.23158056102693,2.4369087535075,1911.53647700054
"Количество отвердителя, м.%",110.57076864736254,110.564839894065,28.295911288788815,17.7402745562519,198.953207190451
"Содержание эпоксидных групп,%_2",22.24438954776773,22.2307437560244,2.4063012915294304,14.2549854977161,33.0
"Температура вспышки, С_2",285.88215135162187,285.896812331237,40.943259952923306,100.0,413.273418243566
"Поверхностная плотность, г/м2",482.73183303841853,451.86436518306,281.314690236661,0.603739925153945,1399.54236233989
"Модуль упругости при растяжении, ГПа",73.32857125009068,73.2688045943481,3.118982889469303,64.0540605597917,82.682051035271
"Прочность при растяжении, МПа",2466.922842697902,2459.52452600309,485.62800627853596,1036.85660535,3848.43673187618
"Потребление смолы, г/м2",218.42314367654285,219.198882195134,59.735930873323504,33.8030255329625,414.590628361534
"Угол нашивки, град",44.252199413489734,0.0,45.01579340761142,0.0,90.0
Шаг нашивки,6.8992220776750175,6.9161438559491,2.563467072833882,0.0,14.4405218753969
Плотность нашивки,57.153929432857645,57.3419198469929,12.350968798651323,0.0,103.988901301494
